brand_id,brand_name,store_id,store_name_raw,store_name_std,address_raw,address_std,sido_nm,ccg_nm,district_nm,ccg_id,district_cd,longitude,latitude,coordinate_source,store_status,match_method,match_confidence,area_id,area_name,area_type,spatial_join_status,exclusion_reason,source_name,source_date,_store_name_norm,_store_addr_norm,_brand_norm
BRD_20080200064,파리바게뜨,MA010120220800553204,파리바게뜨 증산역점,파리바게뜨증산역점,서울특별시 은평구 증산로 299,서울특별시은평구증산로299,서울특별시,은평구,은평구,11380,11380,126.909302226511,37.5839912754196,소상공인시장진흥공단 상가(상권)정보,미확인,exact,high,3110449,증산역 3번,골목상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨증산역점,서울특별시은평구증산로299,파리바게뜨
BRD_20080100039,뚜레쥬르,MA010120220800554622,뚜레쥬르시카고,뚜레쥬르시카고,서울특별시 서대문구 가재울로 42,서울특별시서대문구가재울로42,서울특별시,서대문구,서대문구,11410,11410,126.921844563549,37.5751254577179,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3110502,남가좌파출소,골목상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,뚜레쥬르시카고,서울특별시서대문구가재울로42,뚜레쥬르
BRD_20080200064,파리바게뜨,MA010120220800561593,파리바게뜨서부 병원점,파리바게뜨서부병원점,서울특별시 은평구 은평로 136,서울특별시은평구은평로136,서울특별시,은평구,은평구,11380,11380,126.923041279513,37.6002639347127,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120091,본서부병원,발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨서부병원점,서울특별시은평구은평로136,파리바게뜨
BRD_20080100039,뚜레쥬르,MA010120220800563558,뚜레쥬르무악재역점,뚜레쥬르무악재역점,서울특별시 서대문구 통일로 363,서울특별시서대문구통일로363,서울특별시,서대문구,서대문구,11410,11410,126.949777974474,37.5827450351589,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120095,홍제역,발달상권,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,뚜레쥬르무악재역점,서울특별시서대문구통일로363,뚜레쥬르
BRD_20080200064,파리바게뜨,MA010120220800563795,파리바게뜨충암점,파리바게뜨충암점,서울특별시 서대문구 가좌로 144,서울특별시서대문구가좌로144,서울특별시,서대문구,서대문구,11410,11410,126.923917543279,37.5849116032942,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3110503,명지대학교교회,골목상권,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨충암점,서울특별시서대문구가좌로144,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800569804,파리바게뜨대림 시장점,파리바게뜨대림시장점,서울특별시 은평구 응암로 175,서울특별시은평구응암로175,서울특별시,은평구,은평구,11380,11380,126.916396785451,37.5876725637663,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3130163,응암오거리상점가,전통시장,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨대림시장점,서울특별시은평구응암로175,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800577890,파리바게뜨은평 행복점,파리바게뜨은평행복점,서울특별시 은평구 응암로 247,서울특별시은평구응암로247,서울특별시,은평구,은평구,11380,11380,126.917850150073,37.5942237958525,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3130166,응암시장(신응암시장),전통시장,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨은평행복점,서울특별시은평구응암로247,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800586088,파리바게뜨,파리바게뜨,서울특별시 은평구 은평로 59,서울특별시은평구은평로59,서울특별시,은평구,은평구,11380,11380,126.914493030988,37.5989876543976,소상공인시장진흥공단 상가(상권)정보,미확인,exact,high,3120087,응암역,발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨,서울특별시은평구은평로59,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800588236,파리바게뜨은평뉴타운5단지점,파리바게뜨은평뉴타운5단지점,서울특별시 은평구 연서로 455,서울특별시은평구연서로455,서울특별시,은평구,은평구,11380,11380,126.934502659193,37.6374365980626,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3110492,하나고등학교,골목상권,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨은평뉴타운5단지점,서울특별시은평구연서로455,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800590513,파리바게뜨연희대우점,파리바게뜨연희대우점,서울특별시 서대문구 연희로 44,서울특별시서대문구연희로44,서울특별시,서대문구,서대문구,11410,11410,126.927980976664,37.5625334449471,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3110509,연희대우아파트앞,골목상권,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨연희대우점,서울특별시서대문구연희로44,파리바게뜨
